,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0.97756,0,0,0.544233,0,0,0,0.470681,0.439977,0.434844,0.424933,0.415857,0.404464
1,1.005998,0.79213,0,0.500154,0.450936,0.424481,0.408952,0.396641,0.399998,0.377418,0.370376,0.363126,0.356424,0.348699
2,0.783304,0.631872,0.481449,0.423921,0.389896,0.369542,0.356248,0.346016,0.349121,0.335487,0.328851,0.323382,0.317049,0.310421
3,0.683776,0.570287,0.448596,0.397791,0.370031,0.352125,0.338715,0.330078,0.329446,0.321249,0.315364,0.309746,0.30408,0.297647
4,0.647633,0.524123,0.425639,0.378988,0.354076,0.338818,0.326441,0.318876,0.314958,0.311142,0.305144,0.299711,0.294326,0.287874
5,0.605956,0.48567,0.409527,0.366262,0.343616,0.331141,0.318939,0.31165,0.305733,0.304361,0.298503,0.293049,0.28743,0.281394
6,0.580349,0.469522,0.403814,0.361864,0.340373,0.328433,0.316431,0.309156,0.303321,0.301899,0.296062,0.290567,0.284967,0.278787
7,0.564951,0.45873,0.399301,0.359196,0.337285,0.326644,0.314744,0.307789,0.30194,0.300416,0.294559,0.288734,0.283374,0.277032
8,0.551677,0.450015,0.396817,0.357484,0.335943,0.325829,0.313605,0.307217,0.301607,0.299157,0.293279,0.28765,0.28201,0.275524
9,0.537195,0.442991,0.39518,0.356751,0.33499,0.325321,0.313474,0.306927,0.302068,0.298559,0.292645,0.286717,0.281048,0.274629
10,0.526241,0.438406,0.394381,0.357012,0.334616,0.325647,0.313497,0.307388,0.302913,0.298497,0.292539,0.286546,0.280628,0.274058
11,0.514693,0.43634,0.394418,0.35789,0.334633,0.326294,0.314175,0.308187,0.304309,0.298668,0.292672,0.286423,0.280668,0.273772
12,0.506347,0.434968,0.395324,0.359534,0.335539,0.327748,0.315379,0.309509,0.305961,0.299252,0.293021,0.28673,0.280933,0.273914
13,0.497482,0.435614,0.396696,0.361742,0.336863,0.32934,0.316783,0.311058,0.307856,0.300203,0.293756,0.287425,0.281411,0.274281
14,0.491416,0.436425,0.398759,0.364403,0.338268,0.33132,0.318611,0.312825,0.309793,0.30131,0.294671,0.288133,0.282094,0.274866
15,0.487344,0.438217,0.401332,0.36747,0.340288,0.333426,0.320612,0.315021,0.311993,0.302579,0.29594,0.289208,0.283142,0.275513
16,0.484944,0.44113,0.404742,0.370941,0.342375,0.335914,0.322806,0.317238,0.314281,0.304022,0.297221,0.290478,0.284235,0.276388
